,Brand,Model No,Tot Vol,Labelled energy consumption (kWh/year)
0,FISHER & PAYKEL,FAU80,68,252
1,FISHER & PAYKEL,FAU50,56,279
2,BOSCH,KAKGU4001,414,835
3,BOSCH,KGU40121,414,835
4,BOSCH,KAKGU4001,414,835
5,BOSCH,KGU40120IE,414,835
6,KELON,RD-28 WR4HB,222.6,517
7,KELON,RD-32WR4H,249.8,585
8,INDESIT,R34,332,547
9,THE WAREHOUSE FREEZER CHEST,TWHBD-100,100,349
10,THE WAREHOUSE FREEZER CHEST,TWHBD-100,100,349
11,TRIESTE,TR-14DR4HAS,108.2,357
12,INDESIT,R24 S NZ,227.9,575
13,TRIESTE,RD-32WR4HC,249.8,585
14,FISHER & PAYKEL,XRSS204B,640,756
15,FISHER & PAYKEL,XRSS264B,626.1,835
16,FISHER & PAYKEL,XRSS267,626.1,835
17,FISHER & PAYKEL,XRSS465B,687.6,745
18,FISHER & PAYKEL,XRSS687,740.9,819
19,TRIESTE,TRD-36WR4HC,282.8,712
20,FISHER & PAYKEL,H160,164,303
21,FISHER & PAYKEL,H215,215,341
22,FISHER & PAYKEL,H220,216,342
23,FISHER & PAYKEL,H275,275,389
24,FISHER & PAYKEL,H280,276,378
25,FISHER & PAYKEL,H320,320,407
26,FISHER & PAYKEL,H360,358,433
27,FISHER & PAYKEL,H510,511,542
28,FISHER & PAYKEL,H701,699,696
29,FISHER & PAYKEL,E331T,329,407
30,FISHER & PAYKEL,E372B,373,498
31,FISHER & PAYKEL,E381T,380,433
32,FISHER & PAYKEL,E402B,403,528
33,FISHER & PAYKEL,E411T,411,454
34,FISHER & PAYKEL,E415H,411,519
35,FISHER & PAYKEL,E169T,172,338
36,FISHER & PAYKEL,E249T,248,387
37,FISHER & PAYKEL,E240B,246,460
38,FISHER & PAYKEL,C190,192,309
39,FISHER & PAYKEL,C270,266,340
40,FISHER & PAYKEL,P120,115,291
41,FISHER & PAYKEL,N150,153,405
42,FISHER & PAYKEL,N210,213,498
43,FISHER & PAYKEL,N308,304,565
44,FISHER & PAYKEL,N388,389,644
45,SMEG,FAB32,348,386
46,SMEG,FAB30,351,472
47,SMEG,FAB28,284,327
48,LG,GR-B197GVQ,581,680
49,LG,GR-B197GTQ,581,680
50,LG,GR-L207GVZ,594,710
51,LG,GR-L207GTZ,594,710
52,LG,GR-L207MSZ,594,710
53,LG,GR-L207MGZ,594,710
54,TRIESTE,TR-22WR4HC,180.6,358
55,FISHER & PAYKEL,FAU50,56,279
56,FISHER & PAYKEL,FAU80,68,252
57,FISHER & PAYKEL,XRSS687,740.9,819
58,FISHER & PAYKEL,XRSS264,626.1,835
59,FISHER & PAYKEL,XRSS267,626.1,835
60,BAUMATIC,BKF150SS,115,313
61,BAUMATIC,BKF150W,115,313
62,BAUMATIC,CLFRW,115,313
63,BAUMATIC,CLFRSS,115,313
64,BAUMATIC,BL150,115,299
65,TRIESTE,TR-14DR4HAS,108.41,292
66,TRIESTE,TRD-36,309.4,421
67,NOUVEAU,NV-385R,385,488
68,NOUVEAU,NV-385R-W-A,385,488
69,NOUVEAU,NV-385R-ST-A,385,488
70,GRAM,KS220,205,217
71,GRAM,KS290,286,243
72,GRAM,KS360,354,257
73,GRAM,KS390,388,307
74,GRAM,KF310,311,381
75,GRAM,KF320,318,341
76,GRAM,KF350,349,399
77,GRAM,FS170,165,273
78,GRAM,FS230,230,306
79,GRAM,FS290,287,369
80,GRAM,FS320,315,386
81,SMEG,FA720X,740,871
82,SAMSUNG,SR-24NMES,228,368
83,TRIESTE,RD-28WR4HGE,239.16,403
84,SAMSUNG,SR211NTS,210,349
85,SAMSUNG,SR229NTS,228,368
86,INDESIT,TZA 1 34583,102,249
87,ELCOLD,EL11 XLE,130,182
88,ELCOLD,21 XLE,227,280
89,ELCOLD,EL31 XLE,301,306
90,ELCOLD,EL41 XLE,360,325
91,ELCOLD,EL51 XLE,418,346
92,SELETWARE,RD-30WR4HM,255.7,414
93,SELETWARE,RD-44WR4HME,354.41,458
94,SELETWARE,FC-26DD4HA,205,336
95,SELECTWARE,RD-44WR4HME,354.41,458
96,SELECTWARE,RD-30WR4HME,255.7,414
97,SELECTWARE,FC-26DD4HA,205,336
98,FISHER & PAYKEL,E150,153,395
99,FISHER & PAYKEL,E210,213,473
100,FISHER & PAYKEL,E308,304,537
101,FISHER & PAYKEL,E388,389,637
102,MEILING,MF-208,202.5,345
103,SMEG,FAB40,431,391
104,FISHER & PAYKEL,E373,373,296
105,MITSUBISHI ELECTRIC,MR-G50J,541,660
106,SMEG,SRA20X,553,833
107,SMEG,FA550,553,833
108,BAUMATIC,BKL150W,115,299
109,BAUMATIC,BKL150SS,115,299
110,FISHER & PAYKEL,E450,451,330
111,TRIESTE,TRD-32,262.9,422
112,TRIESTE,TRD-32WR4HW,262.9,422
113,TUSCANY,TFF-246,246,390
